run_id,architecture,accuracy,type,epochs
9.0,2.0,92.5,1.0,5.0
9.0,2.0,97.69999694824219,0.0,10.0
9.0,2.0,95.25,1.0,10.0
9.0,2.0,98.19999694824219,0.0,15.0
9.0,2.0,94.25,1.0,15.0
9.0,2.0,99.5999984741211,0.0,20.0
9.0,2.0,97.25,1.0,20.0
9.0,2.0,99.19999694824219,0.0,25.0
9.0,2.0,98.0,1.0,25.0
0.0,3.0,54.599998474121094,0.0,0.0
0.0,3.0,50.0,1.0,0.0
0.0,3.0,92.0,0.0,5.0
0.0,3.0,86.25,1.0,5.0
0.0,3.0,96.19999694824219,0.0,10.0
0.0,3.0,92.0,1.0,10.0
0.0,3.0,98.0,0.0,15.0
0.0,3.0,94.25,1.0,15.0
0.0,3.0,98.9000015258789,0.0,20.0
0.0,3.0,95.5,1.0,20.0
0.0,3.0,99.30000305175781,0.0,25.0
0.0,3.0,96.5,1.0,25.0
1.0,3.0,54.099998474121094,0.0,0.0
1.0,3.0,52.25,1.0,0.0
1.0,3.0,93.0,0.0,5.0
1.0,3.0,87.75,1.0,5.0
1.0,3.0,96.19999694824219,0.0,10.0
1.0,3.0,90.25,1.0,10.0
1.0,3.0,98.19999694824219,0.0,15.0
1.0,3.0,95.0,1.0,15.0
1.0,3.0,98.80000305175781,0.0,20.0
1.0,3.0,94.0,1.0,20.0
1.0,3.0,99.5999984741211,0.0,25.0
1.0,3.0,95.0,1.0,25.0
2.0,3.0,54.20000076293945,0.0,0.0
2.0,3.0,53.5,1.0,0.0
2.0,3.0,91.80000305175781,0.0,5.0
2.0,3.0,89.75,1.0,5.0
2.0,3.0,97.4000015258789,0.0,10.0
2.0,3.0,94.5,1.0,10.0
2.0,3.0,98.30000305175781,0.0,15.0
2.0,3.0,95.5,1.0,15.0
2.0,3.0,99.0,0.0,20.0
2.0,3.0,95.0,1.0,20.0
2.0,3.0,99.5999984741211,0.0,25.0
2.0,3.0,96.0,1.0,25.0
3.0,3.0,44.70000076293945,0.0,0.0
3.0,3.0,44.5,1.0,0.0
3.0,3.0,95.5,0.0,5.0
3.0,3.0,84.75,1.0,5.0
3.0,3.0,96.30000305175781,0.0,10.0
3.0,3.0,89.75,1.0,10.0
3.0,3.0,98.19999694824219,0.0,15.0
3.0,3.0,90.5,1.0,15.0
3.0,3.0,98.9000015258789,0.0,20.0
3.0,3.0,93.25,1.0,20.0
3.0,3.0,99.30000305175781,0.0,25.0
3.0,3.0,94.75,1.0,25.0
4.0,3.0,46.0,0.0,0.0
4.0,3.0,46.75,1.0,0.0
4.0,3.0,92.0999984741211,0.0,5.0
4.0,3.0,89.75,1.0,5.0
4.0,3.0,96.5999984741211,0.0,10.0
4.0,3.0,94.25,1.0,10.0
4.0,3.0,97.9000015258789,0.0,15.0
4.0,3.0,94.75,1.0,15.0
4.0,3.0,98.69999694824219,0.0,20.0
4.0,3.0,95.75,1.0,20.0
4.0,3.0,99.69999694824219,0.0,25.0
4.0,3.0,97.5,1.0,25.0
5.0,3.0,53.599998474121094,0.0,0.0
5.0,3.0,52.75,1.0,0.0
5.0,3.0,92.19999694824219,0.0,5.0
5.0,3.0,86.75,1.0,5.0
5.0,3.0,95.9000015258789,0.0,10.0
5.0,3.0,91.25,1.0,10.0
5.0,3.0,98.5999984741211,0.0,15.0
5.0,3.0,93.5,1.0,15.0
5.0,3.0,99.5,0.0,20.0
5.0,3.0,94.25,1.0,20.0
5.0,3.0,99.30000305175781,0.0,25.0
5.0,3.0,94.25,1.0,25.0
6.0,3.0,47.5,0.0,0.0
6.0,3.0,47.0,1.0,0.0
6.0,3.0,91.69999694824219,0.0,5.0
6.0,3.0,90.0,1.0,5.0
6.0,3.0,96.4000015258789,0.0,10.0
6.0,3.0,95.75,1.0,10.0
6.0,3.0,97.5999984741211,0.0,15.0
6.0,3.0,96.0,1.0,15.0
6.0,3.0,99.19999694824219,0.0,20.0
6.0,3.0,97.5,1.0,20.0
6.0,3.0,99.0,0.0,25.0
6.0,3.0,97.0,1.0,25.0
7.0,3.0,54.400001525878906,0.0,0.0
7.0,3.0,55.75,1.0,0.0
7.0,3.0,92.0,0.0,5.0
7.0,3.0,90.0,1.0,5.0
7.0,3.0,95.5999984741211,0.0,10.0
7.0,3.0,93.5,1.0,10.0
7.0,3.0,98.0999984741211,0.0,15.0
7.0,3.0,96.75,1.0,15.0
7.0,3.0,99.19999694824219,0.0,20.0
7.0,3.0,96.0,1.0,20.0
7.0,3.0,99.0999984741211,0.0,25.0
7.0,3.0,96.0,1.0,25.0
8.0,3.0,53.900001525878906,0.0,0.0
8.0,3.0,50.0,1.0,0.0
8.0,3.0,93.0999984741211,0.0,5.0
8.0,3.0,87.75,1.0,5.0
8.0,3.0,97.0999984741211,0.0,10.0
8.0,3.0,92.25,1.0,10.0
8.0,3.0,99.0999984741211,0.0,15.0
8.0,3.0,94.75,1.0,15.0
8.0,3.0,99.5,0.0,20.0
8.0,3.0,95.25,1.0,20.0
8.0,3.0,99.4000015258789,0.0,25.0
8.0,3.0,94.75,1.0,25.0
9.0,3.0,44.79999923706055,0.0,0.0
9.0,3.0,48.5,1.0,0.0
9.0,3.0,91.5,0.0,5.0
9.0,3.0,88.75,1.0,5.0
9.0,3.0,96.5,0.0,10.0
9.0,3.0,92.75,1.0,10.0
9.0,3.0,97.9000015258789,0.0,15.0
9.0,3.0,94.75,1.0,15.0
9.0,3.0,99.0999984741211,0.0,20.0
9.0,3.0,97.5,1.0,20.0
9.0,3.0,98.80000305175781,0.0,25.0
9.0,3.0,96.25,1.0,25.0
0.0,4.0,47.29999923706055,0.0,0.0
0.0,4.0,46.75,1.0,0.0
0.0,4.0,85.0,0.0,5.0
0.0,4.0,82.0,1.0,5.0
0.0,4.0,93.4000015258789,0.0,10.0
0.0,4.0,91.5,1.0,10.0
0.0,4.0,95.4000015258789,0.0,15.0
0.0,4.0,93.25,1.0,15.0
0.0,4.0,98.30000305175781,0.0,20.0
0.0,4.0,95.5,1.0,20.0
0.0,4.0,98.5,0.0,25.0
0.0,4.0,94.25,1.0,25.0
1.0,4.0,44.0,0.0,0.0
1.0,4.0,50.0,1.0,0.0
1.0,4.0,85.9000015258789,0.0,5.0
1.0,4.0,79.25,1.0,5.0
1.0,4.0,94.19999694824219,0.0,10.0
1.0,4.0,91.5,1.0,10.0
1.0,4.0,96.5999984741211,0.0,15.0
1.0,4.0,90.5,1.0,15.0
1.0,4.0,97.80000305175781,0.0,20.0
1.0,4.0,91.25,1.0,20.0
1.0,4.0,99.0,0.0,25.0
1.0,4.0,93.25,1.0,25.0
2.0,4.0,55.29999923706055,0.0,0.0
2.0,4.0,59.25,1.0,0.0
2.0,4.0,88.5,0.0,5.0
2.0,4.0,83.25,1.0,5.0
2.0,4.0,91.9000015258789,0.0,10.0
2.0,4.0,88.0,1.0,10.0
2.0,4.0,95.80000305175781,0.0,15.0
2.0,4.0,91.25,1.0,15.0
2.0,4.0,98.0,0.0,20.0
2.0,4.0,93.0,1.0,20.0
2.0,4.0,98.4000015258789,0.0,25.0
2.0,4.0,93.5,1.0,25.0
3.0,4.0,45.099998474121094,0.0,0.0
3.0,4.0,44.75,1.0,0.0
3.0,4.0,85.5999984741211,0.0,5.0
3.0,4.0,84.5,1.0,5.0
3.0,4.0,94.4000015258789,0.0,10.0
3.0,4.0,92.25,1.0,10.0
3.0,4.0,96.19999694824219,0.0,15.0
3.0,4.0,94.0,1.0,15.0
3.0,4.0,97.69999694824219,0.0,20.0
3.0,4.0,95.5,1.0,20.0
3.0,4.0,97.5,0.0,25.0
3.0,4.0,94.0,1.0,25.0
4.0,4.0,54.79999923706055,0.0,0.0
4.0,4.0,52.75,1.0,0.0
4.0,4.0,87.30000305175781,0.0,5.0
4.0,4.0,81.75,1.0,5.0
4.0,4.0,92.5,0.0,10.0
4.0,4.0,87.25,1.0,10.0
4.0,4.0,97.0,0.0,15.0
4.0,4.0,90.0,1.0,15.0
4.0,4.0,98.0999984741211,0.0,20.0
4.0,4.0,94.25,1.0,20.0
4.0,4.0,98.0999984741211,0.0,25.0
4.0,4.0,91.0,1.0,25.0
5.0,4.0,53.599998474121094,0.0,0.0
5.0,4.0,57.25,1.0,0.0
5.0,4.0,87.69999694824219,0.0,5.0
5.0,4.0,85.25,1.0,5.0
5.0,4.0,91.30000305175781,0.0,10.0
5.0,4.0,89.0,1.0,10.0
5.0,4.0,95.4000015258789,0.0,15.0
5.0,4.0,92.25,1.0,15.0
5.0,4.0,97.0999984741211,0.0,20.0
5.0,4.0,94.5,1.0,20.0
5.0,4.0,98.80000305175781,0.0,25.0
5.0,4.0,95.25,1.0,25.0
6.0,4.0,51.70000076293945,0.0,0.0
6.0,4.0,57.75,1.0,0.0
6.0,4.0,90.30000305175781,0.0,5.0
6.0,4.0,87.75,1.0,5.0
6.0,4.0,95.19999694824219,0.0,10.0
6.0,4.0,93.0,1.0,10.0
6.0,4.0,97.4000015258789,0.0,15.0
6.0,4.0,93.75,1.0,15.0
6.0,4.0,97.9000015258789,0.0,20.0
6.0,4.0,94.5,1.0,20.0
6.0,4.0,99.30000305175781,0.0,25.0
6.0,4.0,97.25,1.0,25.0
7.0,4.0,50.099998474121094,0.0,0.0
7.0,4.0,48.5,1.0,0.0
7.0,4.0,87.0,0.0,5.0
7.0,4.0,80.25,1.0,5.0
7.0,4.0,94.5,0.0,10.0
7.0,4.0,86.25,1.0,10.0
7.0,4.0,96.4000015258789,0.0,15.0
7.0,4.0,89.75,1.0,15.0
7.0,4.0,98.19999694824219,0.0,20.0
7.0,4.0,92.5,1.0,20.0
7.0,4.0,99.0,0.0,25.0
7.0,4.0,92.0,1.0,25.0
8.0,4.0,56.900001525878906,0.0,0.0
8.0,4.0,53.75,1.0,0.0
8.0,4.0,87.19999694824219,0.0,5.0
8.0,4.0,81.5,1.0,5.0
8.0,4.0,93.9000015258789,0.0,10.0
8.0,4.0,91.0,1.0,10.0
8.0,4.0,96.5999984741211,0.0,15.0
8.0,4.0,92.75,1.0,15.0
8.0,4.0,98.30000305175781,0.0,20.0
8.0,4.0,94.25,1.0,20.0
8.0,4.0,98.69999694824219,0.0,25.0
8.0,4.0,95.0,1.0,25.0
9.0,4.0,56.20000076293945,0.0,0.0
9.0,4.0,54.0,1.0,0.0
9.0,4.0,88.0999984741211,0.0,5.0
9.0,4.0,84.75,1.0,5.0
9.0,4.0,93.0,0.0,10.0
9.0,4.0,88.75,1.0,10.0
9.0,4.0,96.69999694824219,0.0,15.0
9.0,4.0,93.25,1.0,15.0
9.0,4.0,97.19999694824219,0.0,20.0
9.0,4.0,93.5,1.0,20.0
9.0,4.0,98.5,0.0,25.0
9.0,4.0,95.5,1.0,25.0
